CODE,LOCATION,TYPE,RATING (MAX = 5),Address,Description,Long Description,Tags_Creation_Description,Ticket Info,image_path,open_time,close_time,coordinate,tags
,THANH LONG HOTEL - TRA KHUC,,4.5,18 Trà Khúc,THANH LONG HOTEL - TRA KHUC located at 18 Trà Khúc,"THANH LONG HOTEL - TRA KHUC is a 3-star hotel in Ho Chi Minh City. Rated 9.1/10 by 454 reviews. Guests praise its location near Near Tan Son Nhat International Airport | Tan Son Nhat Airport Area. The most popular room is 'Superior Double Room (with Window, Non Smoking)' with 1 double bed. Easy to get around|Close to airport",Easy to get around|Close to airport,~₫825000/night (approx. $33),https://ak-d.tripcdn.com/images/1mc2z12000cz7be7tE502_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.805785, 106.665339",Easy to get around|Close to airport
,Sunrise Airport Hotel,,4.2,"33 Bach Dang Street, Ward 2","Sunrise Airport Hotel located at 33 Bach Dang Street, Ward 2",Sunrise Airport Hotel is a 3-star hotel in Ho Chi Minh City. Rated 8.3/10 by 706 reviews. Guests praise its location near Near Tan Son Nhat International Airport. The most popular room is 'Standard Double Room' with 1 queen bed. Close to airport|Easy to get around,Close to airport|Easy to get around,~₫425000/night (approx. $17),https://ak-d.tripcdn.com/images/1mc6c12000e00zv0f2DFA_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.814555, 106.671037",Close to airport|Easy to get around
,Luxury Home Landmark 81,,4.4,"Landmark 81, 720A Dien Bien Phu","Luxury Home Landmark 81 located at Landmark 81, 720A Dien Bien Phu",Luxury Home Landmark 81 is a 5-star hotel in Ho Chi Minh City. Rated 8.8/10 by 879 reviews. Guests praise its location near Near Landmark 81 Sky View Observatory | Vinhomes Central Park. The most popular room is 'Standard Apartment Two Bedroom' with 2 queen beds. Great view|Many amenities,Great view|Many amenities,~₫2250000/night (approx. $90),https://ak-d.tripcdn.com/images/1mc0e12000doa5ujxAB04_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.795112, 106.722096",Great view|Many amenities
,M Village Hotel Nguyen Du,,4.8,"149 - 151 Nguyen Du, Ben Thanh Ward","M Village Hotel Nguyen Du located at 149 - 151 Nguyen Du, Ben Thanh Ward",M Village Hotel Nguyen Du is a 3-star hotel in Ho Chi Minh City. Rated 9.5/10 by 99 reviews. Guests praise its location near Near Pham Ngu Lao | Ho Chi Minh City Centre. The most popular room is 'Superior Room With Window - No View' with 1 queen bed. Great location|Great stay!,Great location|Great stay!,~₫6750000/night (approx. $270),https://ak-d.tripcdn.com/images/1mc5x12000lxky96d4282_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.77243, 106.69302",Great location|Great stay!
,Hotel Nikko Saigon,,4.7,235 Đ. Nguyễn Văn Cừ,Hotel Nikko Saigon located at 235 Đ. Nguyễn Văn Cừ,"Hotel Nikko Saigon is a 5-star hotel in Ho Chi Minh City. Rated 9.4/10 by 1,203 reviews. Guests praise its location near Near Pham Ngu Lao. The most popular room is 'Deluxe King Room' with 1 king bed. Delicious breakfast|Great swimming pool",Delicious breakfast|Great swimming pool,~₫4325000/night (approx. $173),https://ak-d.tripcdn.com/images/02235120008coecfr4940_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.764129, 106.682928",Delicious breakfast|Great swimming pool
,Sheraton Saigon Grand Opera Hotel,,4.7,"88 Dong Khoi, Sai Gon Ward","Sheraton Saigon Grand Opera Hotel located at 88 Dong Khoi, Sai Gon Ward","Sheraton Saigon Grand Opera Hotel is a 5-star hotel in Ho Chi Minh City. Rated 9.3/10 by 476 reviews. Guests praise its location near Near Saigon Japan Town | Nguyen Hue Walking Street. The most popular room is 'Guest Room, 1 King Bed' with 1 king bed. Delicious breakfast|Located downtown",Delicious breakfast|Located downtown,~₫4825000/night (approx. $193),https://ak-d.tripcdn.com/images/1mc3112000icibkvj724E_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.775446, 106.703878",Delicious breakfast|Located downtown
,"Vinpearl Landmark 81, Autograph Collection",,4.7,720A Điện Biên Phủ,"Vinpearl Landmark 81, Autograph Collection located at 720A Điện Biên Phủ","Vinpearl Landmark 81, Autograph Collection is a 5-star hotel in Ho Chi Minh City. Rated 9.3/10 by 555 reviews. Guests praise its location near Near Landmark 81 Sky View Observatory | Vinhomes Central Park. The most popular room is 'Premier Twin Room with Sky view' with 2 single beds. Great view|Delicious breakfast",Great view|Delicious breakfast,~₫6625000/night (approx. $265),https://ak-d.tripcdn.com/images/1mc3a12000c3zrkgmC552_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.795225, 106.721888",Great view|Delicious breakfast
,The Reverie Saigon,,4.7,"22 - 36 Nguyen Hue, 57 - 69F Dong Khoi","The Reverie Saigon located at 22 - 36 Nguyen Hue, 57 - 69F Dong Khoi",The Reverie Saigon is a 5-star hotel in Ho Chi Minh City. Rated 9.4/10 by 328 reviews. Guests praise its location near Near Saigon Japan Town | Nguyen Hue Walking Street. The most popular room is 'Deluxe King Room' with 1 king bed. Well decorated|Luxurious,Well decorated|Luxurious,~₫6500000/night (approx. $260),https://ak-d.tripcdn.com/images/02258120008cv8r9j44AD_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.77374, 106.704549",Well decorated|Luxurious
,Ibis Saigon Airport,,4.4,2 Đ. Hồng Hà,Ibis Saigon Airport located at 2 Đ. Hồng Hà,"Ibis Saigon Airport is a 4-star hotel in Ho Chi Minh City. Rated 8.8/10 by 1,246 reviews. Guests praise its location near Near Tan Son Nhat International Airport | Tan Son Nhat Airport Area. The most popular room is 'Standard Twin Room' with 2 single beds. Close to airport|Offers pick-up/drop-offs",Close to airport|Offers pick-up/drop-offs,~₫1650000/night (approx. $66),https://ak-d.tripcdn.com/images/20050m000000dm4evA7F5_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.81301, 106.666183",Close to airport|Offers pick-up/drop-offs
,Sedona Suites Ho Chi Minh City,,4.6,"67 Le Loi Boulevard, Saigon Ward","Sedona Suites Ho Chi Minh City located at 67 Le Loi Boulevard, Saigon Ward",Sedona Suites Ho Chi Minh City is a 5-star hotel in Ho Chi Minh City. Rated 9.2/10 by 289 reviews. Guests praise its location near Near Pham Ngu Lao | Ho Chi Minh City Centre. The most popular room is 'Grand Two-Bedroom' with 2 queen beds. Convenient for shopping|Great view,Convenient for shopping|Great view,~₫6350000/night (approx. $254),https://ak-d.tripcdn.com/images/1mc5z12000jjn8kns2843_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.772939, 106.700488",Convenient for shopping|Great view
,JW Marriott Hotel & Suites Saigon,,4.6,"Corner Hai Ba Trung Street & Le Duan Boulevard, Ben Nghe Ward","JW Marriott Hotel & Suites Saigon located at Corner Hai Ba Trung Street & Le Duan Boulevard, Ben Nghe Ward","JW Marriott Hotel & Suites Saigon is a 5-star hotel in Ho Chi Minh City. Rated 9.2/10 by 199 reviews. Guests praise its location near Near Saigon Japan Town. The most popular room is 'Deluxe Guest Room, 2 Twin' with 2 single beds. Great location|Great stay!",Great location|Great stay!,~₫6625000/night (approx. $265),https://ak-d.tripcdn.com/images/0223312000h04end9BCB9_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.780941, 106.700568",Great location|Great stay!
,The Noble Swan Hotel Saigon,,4.0,229 Đ. Lê Thánh Tôn,The Noble Swan Hotel Saigon located at 229 Đ. Lê Thánh Tôn,The Noble Swan Hotel Saigon is a 3-star hotel in Ho Chi Minh City. Rated 8.0/10 by 213 reviews. Guests praise its location near Near Pham Ngu Lao | Ho Chi Minh City Centre. The most popular room is 'Deluxe Triple Room Non Smoking With Complimentary Daily Snack' with 1 queen bed and 1 single bed. Clean and tidy|Convenient location,Clean and tidy|Convenient location,~₫800000/night (approx. $32),https://ak-d.tripcdn.com/images/1mc6212000duvef6417AF_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.77221, 106.69652",Clean and tidy|Convenient location
,Nicecy Hotel Suites & Spa,,4.5,"8B-8C Đ. Lê Thánh Tôn, Street","Nicecy Hotel Suites & Spa located at 8B-8C Đ. Lê Thánh Tôn, Street",Nicecy Hotel Suites & Spa is a 3-star hotel in Ho Chi Minh City. Rated 8.9/10 by 233 reviews. Guests praise its location near Near Saigon Japan Town | Le Thanh Ton. The most popular room is 'Suite With Bathtub And City View' with 1 queen bed. Great location|Clean pool,Great location|Clean pool,~₫1450000/night (approx. $58),https://ak-d.tripcdn.com/images/1mc6112000j5lpxhaE379_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.78173, 106.70549",Great location|Clean pool
,Hilton Saigon,,4.6,11 Me Linh Square,Hilton Saigon located at 11 Me Linh Square,Hilton Saigon is a 5-star hotel in Ho Chi Minh City. Rated 9.2/10 by 453 reviews. Guests praise its location near Near Saigon Japan Town | Nguyen Hue Walking Street. The most popular room is 'Twin Room' with 2 single beds. Delicious breakfast|Great view,Delicious breakfast|Great view,~₫8525000/night (approx. $341),https://ak-d.tripcdn.com/images/1mc1k12000dii2la85338_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.775048, 106.705661",Delicious breakfast|Great view
,Cochin Zen Hotel,,4.3,"46 Thủ Khoa Huân, Street","Cochin Zen Hotel located at 46 Thủ Khoa Huân, Street",Cochin Zen Hotel is a 4-star hotel in Ho Chi Minh City. Rated 8.6/10 by 383 reviews. Guests praise its location near Near Pham Ngu Lao | Ho Chi Minh City Centre. The most popular room is 'Deluxe Double Room without Window' with 1 queen bed. Delicious breakfast|Clean pool,Delicious breakfast|Clean pool,~₫1225000/night (approx. $49),https://ak-d.tripcdn.com/images/22070u000000jxj5sA3EB_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.774508, 106.696757",Delicious breakfast|Clean pool
,Your Homes River Gate Premium,,4.7,151 Đường Bến Vân Đồn,Your Homes River Gate Premium located at 151 Đường Bến Vân Đồn,Your Homes River Gate Premium is a 4-star hotel in Ho Chi Minh City. Rated 9.3/10 by 108 reviews. Guests praise its location near Near Pham Ngu Lao | Bach Dang Riverside. The most popular room is 'Studio Superior' with 1 king bed. Great stay!|Great location,Great stay!|Great location,~₫900000/night (approx. $36),https://ak-d.tripcdn.com/images/0204812000c3sv39v2654_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.76198, 106.69936",Great stay!|Great location
,Mai House Saigon Hotel,,4.7,157 Đ. Nam Kỳ Khởi Nghĩa,Mai House Saigon Hotel located at 157 Đ. Nam Kỳ Khởi Nghĩa,Mai House Saigon Hotel is a 5-star hotel in Ho Chi Minh City. Rated 9.4/10 by 669 reviews. Guests praise its location near Near Saigon Japan Town. The most popular room is 'Premium King Room' with 1 queen bed. Delicious breakfast|Great swimming pool,Delicious breakfast|Great swimming pool,~₫4350000/night (approx. $174),https://ak-d.tripcdn.com/images/200b1a0000019edlaA36F_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.782241, 106.691871",Delicious breakfast|Great swimming pool
,Windsor Plaza Hotel,,4.5,"18 Đ. An D. Vương, Street","Windsor Plaza Hotel located at 18 Đ. An D. Vương, Street","Windsor Plaza Hotel is a 5-star hotel in Ho Chi Minh City. Rated 8.9/10 by 1,385 reviews. Guests praise its location near Near Pham Ngu Lao. The most popular room is 'Deluxe Room Non Smoking' with 1 double bed or 2 single beds. Delicious breakfast|Large rooms",Delicious breakfast|Large rooms,~₫1800000/night (approx. $72),https://ak-d.tripcdn.com/images/1mc2v12000molshulA723_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.757939, 106.67357",Delicious breakfast|Large rooms
,Landmark Plus By Somi Luxstay,,4.5,"Vinhomes, 208 Nguyen Huu Canh","Landmark Plus By Somi Luxstay located at Vinhomes, 208 Nguyen Huu Canh",Landmark Plus By Somi Luxstay is a 4-star hotel in Ho Chi Minh City. Rated 9.0/10 by 747 reviews. Guests praise its location near Near Landmark 81 Sky View Observatory | Vinhomes Central Park. The most popular room is '1 Bedroom Apartment (Classic)' with 1 queen bed. Many amenities|Located downtown,Many amenities|Located downtown,~₫1125000/night (approx. $45),https://ak-d.tripcdn.com/images/1mc2312000g8t4zu759E6_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.795524, 106.719203",Many amenities|Located downtown
,Lani Living - Residence & Hotel in District 1,,4.8,"100 Co Giang Street, Co Giang Ward","Lani Living - Residence & Hotel in District 1 located at 100 Co Giang Street, Co Giang Ward",Lani Living - Residence & Hotel in District 1 is a 4-star hotel in Ho Chi Minh City. Rated 9.5/10 by 39 reviews. Guests praise its location near Near Pham Ngu Lao | Bach Dang Riverside. The most popular room is 'Deluxe Studio' with 1 queen bed. Great amenities|Great service,Great amenities|Great service,~₫1775000/night (approx. $71),https://ak-d.tripcdn.com/images/1mc4u12000mwmc3uu6EA2_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.763126, 106.694768",Great amenities|Great service
,InterContinental Grand Ho Tram,,4.7,"Ho Tram Hamlet, Ho Tram Commune, Ho Chi Minh City","InterContinental Grand Ho Tram located at Ho Tram Hamlet, Ho Tram Commune, Ho Chi Minh City","InterContinental Grand Ho Tram is a 5-star hotel in Phuoc Thuan. Rated 9.3/10 by 90 reviews. Guests praise its location near Near Ho Tram Beach, Phuoc Thuan. The most popular room is 'Classic King Room - Non-Smoking' with 1 king bed. Great stay!|Great service",Great stay!|Great service,~₫2475000/night (approx. $99),https://ak-d.tripcdn.com/images/0225b120009c6vqxq46A4_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.486559, 107.454275",Great stay!|Great service
,MIN' Apartment - Rivergate Residence Downtown BUI VIEN - FREE POOL,,4.4,151 Ben Van Don,MIN' Apartment - Rivergate Residence Downtown BUI VIEN - FREE POOL located at 151 Ben Van Don,MIN' Apartment - Rivergate Residence Downtown BUI VIEN - FREE POOL is a 4-star hotel in Ho Chi Minh City. Rated 8.8/10 by 182 reviews. Guests praise its location near Near Pham Ngu Lao | Bach Dang Riverside. The most popular room is 'Standard Studio' with 1 queen bed. Convenient location|Great value for money,Convenient location|Great value for money,~₫775000/night (approx. $31),https://ak-d.tripcdn.com/images/0205112000ehd7nzo699B_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.762228, 106.699147",Convenient location|Great value for money
,Riverside Hotel In Saigon,,4.3,"18-19-20 Đ. Tôn Đức Thắng, Bến Nghé","Riverside Hotel In Saigon located at 18-19-20 Đ. Tôn Đức Thắng, Bến Nghé",Riverside Hotel In Saigon is a 3-star hotel in Ho Chi Minh City. Rated 8.6/10 by 246 reviews. Guests praise its location near Near Saigon Japan Town | Nguyen Hue Walking Street. The most popular room is 'Deluxe' with 1 queen bed or 2 single beds. Great location|Great view,Great location|Great view,~₫875000/night (approx. $35),https://ak-d.tripcdn.com/images/0586012000cs4mi9iB4D2_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.773773, 106.706252",Great location|Great view
,Metropole Luxury Apartment By Somi,,4.5,"No 5, D6 Street, An Khanh Ward","Metropole Luxury Apartment By Somi located at No 5, D6 Street, An Khanh Ward",Metropole Luxury Apartment By Somi is a 4-star hotel in Ho Chi Minh City. Rated 9.1/10 by 469 reviews. Guests praise its location near Near Saigon Japan Town. The most popular room is '1 Bedroom Apartment' with 1 queen bed. Many amenities|Located downtown,Many amenities|Located downtown,~₫1625000/night (approx. $65),https://ak-d.tripcdn.com/images/1mc3512000h777ha5D3F1_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.77727, 106.712675",Many amenities|Located downtown
,Jasmine Hotel,,4.2,283/25  Pham Ngu Lao street,Jasmine Hotel located at 283/25  Pham Ngu Lao street,Jasmine Hotel is a 3-star hotel in Ho Chi Minh City. Rated 8.4/10 by 277 reviews. Guests praise its location near Near Pham Ngu Lao | Pham Ngu Lao Street Area. The most popular room is '2-bed Room' with 2 single beds. Great value for money|Located downtown,Great value for money|Located downtown,~₫500000/night (approx. $20),https://ak-d.tripcdn.com/images/1mc3x12000efr38dqF832_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.767285, 106.691185",Great value for money|Located downtown
,Condotel Imperial Landmark 81- SomiLuxstay,,4.5,"720A Dien Bien Phu, Ward 22","Condotel Imperial Landmark 81- SomiLuxstay located at 720A Dien Bien Phu, Ward 22",Condotel Imperial Landmark 81- SomiLuxstay is a 4-star hotel in Ho Chi Minh City. Rated 8.9/10 by 344 reviews. Guests praise its location near Near Landmark 81 Sky View Observatory | Vinhomes Central Park. The most popular room is 'Deluxe Apartment Two Bedroom' with 2 queen beds. Great view|Many amenities,Great view|Many amenities,~₫2275000/night (approx. $91),https://ak-d.tripcdn.com/images/1mc3x12000mqr8ij976F9_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.795112, 106.722096",Great view|Many amenities
